input,output
Failure: all egg trays being transferred was identified as unknown. | Fault: EID (IDENTIFIER),"ask customer to
1.check for cleanliness of eid found no debris and no debris halt.
2.check for loose hardware normal.
3.check egg eid trouble shooting page found normal power dbm value.
3.clean the eid and wipe dry then adjust emitter enable didnt resolve.
4.check tic module found normal led signal tried reset power cycled didnt resolve.
5.tried re-installing software by first back up then took the software card off and put it back.
6.following fsa0057 and tried egg transferring problem solved."
"Failure: was called regarding cc that paused repeatedly on the cleaner step. 

 | Fault: CLEANING CART","installed a new sanitation spartan valve due to cracked base
  tightened the remaining valves to the cleaning cart manifold
found an issue with the internal female bulkhead fitting for the cleaner fluid replaced this as this was the cause of the cc issue on the cleaner fluid"
Failure: not on network both valve bank ion and motor io alarms appeared after machine halted. vaccinated eggs were picked up by the tm haylo but was not released into the basket.  | Fault: ELECTRICAL/PLC,"1. checked alignment of flat-to-haylo alignment. 
2. check also all sensors in the tm and wago signals.
3. inspect tm festo valve banks if functioning well.

found out that basket light beam sensor was reflecting too much in the basket carrier metal plate which was partly bent. it was covered with a non-reflecting material."
"Failure: el equipo se detiene durante el proceso de vacunacin alarma identificadores sucias canal 2
the equipment stops during the vaccination process dirty identifiers alarm channel 2 | Fault: EID (IDENTIFIER)",para identificar el problema exacta si hizo pruebas intercambiando los emisores de uno al otro donde se identific que el problema era efectivamente el emisor.
Failure: wago signals to festo valves was intermittent which caused that the cylinders went back out of time. | Fault: ELECTRICAL/PLC,revision de presiones de aire y correccin de fugas posterior a eso se revisa el funcionamiento y seales de electro vlvulas festo donde se detecta la intermitencia del encendido de las vlvulas de retraccin.
Failure: se daa la banda que mantienen unidas las varillas por tal motivo se desarmo el porta huevos. | Fault: EGG CARRIER (sR),se ubico el porta huevos en posicin de lavado de esta manera nos dio una idea a partir de que eslabn de la cadena comenzar a instalar las varillas se cambio la banda que une las varillas y se armo nuevamente el porta huevos.
Failure: plc alarms were recorded in the hmi see attached picture. a 3-0 red blinking code was seen in tm wago.  | Fault: ELECTRICAL/PLC,"1 check if communication cables were properly connected
2 check for any loose wire connections 
3 reseat all wago cards"
Failure: tr call remover conveyor motor alarm fault | Fault: CONVEYOR,checked events history.  tried actuating remover conveyor motor.  verified motor drive is okay.  replaced faulty oriental conveyor motor.
Failure: loose injector conveyor belt.  pop-off during operation. | Fault: CONVEYOR,replaced and tightened loose conveyor belting.
Failure: tr call no sanitation flowing though sanitation lines and toolings.  | Fault: SANITATION SYSTEM,replaced faulty sanitation check vales.  replaced  rebuilt toolings with blowback issues.
Failure: tr call for plc cannot determine module order. | Fault: ELECTRICAL/PLC,during troubleshooting multiple halt codes arose  transfer module expected transfer remote io order fault stop button pressed fault.  escalated to css support and advised to start troubleshooting the transfer wago plc module.  started by replacing power cards.  replaced faulty 24v1 24v2 and 0v1 cards.  machine and wago plc booted up normal and in ready state.
